vol1,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.1,0.430028,4.09615,1012.42,9.20807,-613.078,-7.83002,-0.0846029,3.51751,0.000449502,-0.310649,0.267785,2.62546,1012.42,9.20807,-613.078,-7.83002,-0.0846029,3.51751,0.000449502,-0.310649,0.508883,0.508883,1012.42,-1.59958,-250.203,-3.85429,0.0001802,1.09492,-3.2832e-06,-0.0522
0.104,0.260999,2.61747,1012.44,1.5104,-613.413,-8.03996,-0.0799727,3.52046,0.000337042,-0.31098,0.261749,2.62372,1012.44,1.5104,-613.413,-8.03996,-0.0799727,3.52046,0.000337042,-0.31098,0.499967,0.499967,1012.44,-2.08549,-250.282,-3.8087,0.000239408,1.09524,-4.35189e-06,-0.05219
0.108,0.26361,2.62631,1012.38,-4.66649,-613.602,-7.84615,-0.0761901,3.50344,0.000420136,-0.310361,0.262242,2.62817,1012.38,-4.66649,-613.602,-7.84615,-0.0761901,3.50344,0.000420136,-0.310361,0.481798,0.481798,1012.38,-3.20708,-250.341,-3.74036,0.000384089,1.09541,-5.71737e-06,-0.0522114
0.112,0.262745,2.62688,1012.33,-28.7855,-613.788,-7.77542,-0.0737054,3.49972,0.00023123,-0.298504,0.261868,2.62096,1012.33,-28.7855,-613.788,-7.77542,-0.0737054,3.49972,0.00023123,-0.298504,0.500889,0.500889,1012.33,-4.18276,-250.392,-3.66483,0.000512905,1.09546,-7.1843e-06,-0.0522034
0.116,0.262324,2.62153,1012.21,-22.4507,-614.107,-7.69746,-0.0698077,3.49226,0.000383399,-0.280797,0.261471,2.62686,1012.21,-22.4507,-614.107,-7.69746,-0.0698077,3.49226,0.000383399,-0.280797,0.484301,0.484301,1012.21,-5.4275,-250.465,-3.59352,0.000682471,1.09568,-9.32183e-06,-0.0522099
0.12,0.262826,2.62626,1012.12,-42.0459,-614.299,-7.54728,-0.065167,3.48309,0.000115011,-0.291232,0.262763,2.62058,1012.12,-42.0459,-614.299,-7.54728,-0.065167,3.48309,0.000115011,-0.291232,0.482765,0.482765,1012.12,-6.74246,-250.396,-3.44013,0.00086528,1.0951,-1.1446e-05,-0.052273
0.124,0.261868,2.61606,1011.92,-46.1578,-613.957,-7.19145,-0.060305,3.47576,0.00024265,-0.288403,0.262104,2.61596,1011.92,-46.1578,-613.957,-7.19145,-0.060305,3.47576,0.00024265,-0.288403,0.487138,0.487138,1011.92,-8.3972,-250.442,-3.34183,0.00110601,1.0952,-1.43291e-05,-0.052298
0.128,0.26154,2.61861,1011.74,-65.7813,-611.808,-5.23525,-0.0540732,3.47374,-0.000205193,-0.288303,0.261089,2.61339,1011.74,-65.7813,-611.808,-5.23525,-0.0540732,3.47374,-0.000205193,-0.288303,0.494341,0.494341,1011.74,-10.3002,-250.171,-3.13576,0.00138285,1.09368,-1.73107e-05,-0.0523892
0.132,0.261748,2.61662,1011.41,-77.5739,-607.87,-3.15757,-0.0495158,3.45908,0.000122435,-0.284314,0.260842,2.61252,1011.41,-77.5739,-607.87,-3.15757,-0.0495158,3.45908,0.000122435,-0.284314,0.500348,0.500348,1011.41,-12.7324,-250.019,-2.95494,0.00175285,1.09266,-2.02649e-05,-0.0523724
0.136,0.262078,2.61774,1011.08,-98.2449,-604.093,-1.10344,-0.0426217,3.44937,-0.000173688,-0.280328,0.261594,2.61784,1011.08,-98.2449,-604.093,-1.10344,-0.0426217,3.44937,-0.000173688,-0.280328,0.500711,0.500711,1011.08,-15.2697,-249.604,-2.6465,0.0021346,1.09038,-2.38032e-05,-0.0525151
0.14,0.261495,2.61796,1010.57,-116.329,-601.485,2.80831,-0.0351715,3.43253,9.75559e-05,-0.291611,0.261748,2.62384,1010.57,-116.329,-601.485,2.80831,-0.0351715,3.43253,9.75559e-05,-0.291611,0.500483,0.500483,1010.57,-18.6139,-249.266,-2.37588,0.00266644,1.08844,-2.71646e-05,-0.0525947
0.144,0.26158,2.62154,1010.05,-153.02,-600.551,3.24855,-0.0314072,3.4218,-0.000149143,-0.278149,0.261606,2.62063,1010.05,-153.02,-600.551,3.24855,-0.0314072,3.4218,-0.000149143,-0.278149,0.502812,0.502812,1010.05,-21.9905,-248.829,-2.05912,0.00321328,1.08602,-3.06095e-05,-0.0526633
